title,date,url,song,artist,start,duration,note,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,ムーンライト伝説,DALI,350,180,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,Together,あきよしふみえ,673,240,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,バトルフロンティア,高屋亜希那,1005,217,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,ピースサイン,米津玄師,1391,244,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,航海の唄,さユり,1806,290,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,"Don't say ""lazy""",桜高軽音部,2268,266,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,青春コンプレックス,結束バンド,2683,204,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,Over soul,林原めぐみ,3038,242,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,Pray,Tommy heavenly6,3703,269,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,月華-tsukihana-,北出菜奈,4230,359,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,残響散歌,Aimer,4909,186,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,アイドル,YOASOBI,5132,218,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,君の知らない物語,supercell,5449,111,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,創聖のアクエリオン,AKINO,5715,283,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,シュガーソングとビターステップ,UNISON SQUARE GARDEN,6066,252,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,Snow halation,μ's,6494,94,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,ライオン,May'n / 中島 愛,6677,307,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,only my railgun,fripside,6988,251,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,LEVEL5-judgelight-,fripside,7445,265,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,ラピスラズリ,藍井エイル,8338,253,,
〖 歌枠 〗好きなアニソンを聴け〖 眠雲ツクリ / ミリプロ 〗,2025/8/21,https://www.youtube.com/live/K-_AeM8Yt0k?si=FYq1c4jduFVVldz_,一度だけの恋なら,ワルキューレ,8978,249,,
